Name,Team,OVR,Position2,Wins,Year
Aaron Adams,Packers,62,OL,12,2015
Aaron Berry,Jets,70,DB,8,2014
Aaron Berry,Lions,73,DB,4,2013
Aaron Brewer,Bears,45,WR,3,2017
Aaron Brewer,Broncos,53,WR,12,2016
Aaron Brewer,Broncos,51,WR,12,2015
Aaron Brewer,Broncos,39,WR,13,2014
Aaron Brewer,Cardinals,45,WR,NA,2018
Aaron Brown,Bengals,63,HB,10,2013
Aaron Brown,Rams,55,LB,7.5,2013
Aaron Burbridge,49ers,63,WR,2,2017
Aaron Burbridge,49ers,67,WR,NA,2018
Aaron Colvin,Jaguars,78,DB,3,2017
Aaron Colvin,Jaguars,71,DB,5,2016
Aaron Colvin,Jaguars,71,DB,3,2015
Aaron Colvin,Jaguars,78,DB,NA,2018
Aaron Corp,Dolphins,62,QB,8,2014
Aaron Curry,Giants,76,LB,7,2014
Aaron Curry,Raiders,79,LB,4,2013
Aaron Dobson,Patriots,71,WR,14,2017
Aaron Dobson,Patriots,75,WR,12,2016
Aaron Dobson,Patriots,75,WR,12,2015
Aaron Dobson,Patriots,72,WR,12,2014
Aaron Dobson,Cardinals,71,WR,NA,2018
Aaron Donald,Rams,98,DL,4,2017
Aaron Donald,Rams,92,DL,7,2016
Aaron Donald,Rams,89,DL,6,2015
Aaron Donald,Rams,99,DL,NA,2018
Aaron Epps,Bengals,62,OL,6.5,2017
Aaron Grymes,Eagles,62,DB,NA,2018
Aaron Hernandez,Patriots,88,WR,12,2013
Aaron Jones,Packers,70,HB,NA,2018
Aaron Lynch,49ers,83,LB,2,2017
Aaron Lynch,49ers,79,LB,5,2016
Aaron Lynch,49ers,72,LB,8,2015
Aaron Lynch,49ers,76,DL,NA,2018
Aaron Maybin,Bengals,74,LB,11,2014
Aaron Maybin,Jets,74,LB,6,2013
Aaron Mellette,Ravens,63,WR,8,2014
Aaron Morgan,Colts,65,LB,11,2015
Aaron Morgan,Buccaneers,67,DL,4,2014
Aaron Morgan,Jaguars,54,DL,2,2013
Aaron Murray,Chiefs,63,QB,12,2017
Aaron Murray,Chiefs,68,QB,11,2016
Aaron Murray,Chiefs,69,QB,9,2015
Aaron Peck,Packers,66,WR,NA,2018
Aaron Ripkowski,Packers,71,FALSE,10,2017
Aaron Ripkowski,Packers,65,FALSE,10,2016
Aaron Ripkowski,Packers,83,FALSE,NA,2018
Aaron Rodgers,Packers,96,QB,10,2017
Aaron Rodgers,Packers,99,QB,10,2016
Aaron Rodgers,Packers,98,QB,12,2015
Aaron Rodgers,Packers,98,QB,8.5,2014
Aaron Rodgers,Packers,99,QB,11,2013
Aaron Rodgers,Packers,98,QB,NA,2018
Aaron Ross,Ravens,76,DB,10,2015
Aaron Ross,Giants,76,DB,7,2014
Aaron Ross,Jaguars,80,DB,2,2013
Aaron Wallace,Titans,65,LB,9,2017
Aaron Wallace,Titans,64,LB,NA,2018
Aaron Williams,Bills,77,DB,7,2017
Aaron Williams,Bills,79,DB,8,2016
Aaron Williams,Bills,79,DB,9,2015
Aaron Williams,Bills,75,DB,6,2014
Aaron Williams,Bills,72,DB,6,2013
Abram Elam,Chiefs,79,DB,2,2013
Abry Jones,Jaguars,68,DL,3,2017
Abry Jones,Jaguars,68,DL,5,2016
Abry Jones,Jaguars,66,DL,3,2015
Abry Jones,Jaguars,80,DL,NA,2018
Ace Sanders,Jaguars,71,WR,5,2016
Ace Sanders,Jaguars,71,WR,3,2015
Ace Sanders,Jaguars,63,WR,4,2014
Adairius Barnes,Lions,64,DB,NA,2018
Adam Bisnowaty,Giants,65,OL,NA,2018
Adam Carriker,Redskins,78,DL,3,2014
Adam Carriker,Redskins,79,DL,10,2013
Adam Fuehne,Lions,64,WR,9,2017
Adam Gettis,Giants,66,OL,11,2017
Adam Gettis,Giants,68,OL,6,2016
Adam Gettis,Giants,68,OL,6,2015
Adam Gettis,Redskins,65,OL,3,2014
Adam Gettis,Redskins,63,OL,10,2013
Adam Gettis,Giants,67,OL,NA,2018
Adam Gotsis,Broncos,68,DL,9,2017
Adam Gotsis,Broncos,66,DL,NA,2018
Adam Hayward,Redskins,70,LB,8.5,2017
Adam Hayward,Redskins,70,LB,9,2016
Adam Hayward,Redskins,70,LB,4,2015
Adam Hayward,Buccaneers,72,LB,4,2014
Adam Hayward,Buccaneers,72,LB,7,2013
Adam Humphries,Buccaneers,67,WR,9,2017
Adam Humphries,Buccaneers,76,WR,NA,2018
Adam Jones,Bengals,88,DB,6.5,2017
Adam Jones,Bengals,81,DB,12,2016
Adam Jones,Bengals,82,DB,10.5,2015
Adam Jones,Bengals,79,DB,11,2014
Adam Jones,Bengals,73,DB,10,2013
Adam Jones,Bengals,81,DB,NA,2018
Adam Nissley,Falcons,61,WR,13,2013
Adam Pankey,Packers,61,OL,NA,2018
Adam Podlesh,Bears,73,FALSE,8,2014
Adam Podlesh,Bears,78,FALSE,10,2013
Adam Shaheen,Bears,75,WR,NA,2018
Adam Snyder,Giants,75,OL,6,2015
Adam Snyder,49ers,73,OL,12,2014
Adam Snyder,Cardinals,71,OL,5,2013
Adam Thielen,Vikings,69,WR,8,2017
Adam Thielen,Vikings,71,WR,11,2016
Adam Thielen,Vikings,71,WR,7,2015
Adam Thielen,Vikings,81,WR,NA,2018
Adam Vinatieri,Colts,84,FALSE,8,2017
Adam Vinatieri,Colts,90,FALSE,8,2016
Adam Vinatieri,Colts,91,FALSE,11,2015
Adam Vinatieri,Colts,87,FALSE,11,2014
Adam Vinatieri,Colts,89,FALSE,11,2013
Adam Vinatieri,Colts,84,FALSE,NA,2018
Adam Weber,Buccaneers,66,QB,4,2014
Adam Weber,Broncos,69,QB,13,2013
Adarius Glanton,Buccaneers,61,LB,9,2017
Adarius Glanton,Panthers,64,LB,15,2016
Adarius Glanton,Panthers,64,LB,7.5,2015
Adarius Glanton,Buccaneers,65,LB,NA,2018
Addison Lawrence,Ravens,60,OL,10,2013
Adewale Ojomo,Giants,63,DL,7,2014
Adolphus Washington,Bills,70,DL,7,2017
Adolphus Washington,Bills,71,DL,NA,2018
Adonis Thomas,Browns,61,HB,5,2013
Adoree' Jackson,Titans,74,DB,NA,2018
Adrian Amos,Bears,77,DB,3,2017
Adrian Amos,Bears,66,DB,6,2016
Adrian Amos,Bears,80,DB,NA,2018
Adrian Arrington,Saints,64,WR,7,2013
Adrian Clayborn,Falcons,77,DL,11,2017
Adrian Clayborn,Falcons,78,DL,8,2016
Adrian Clayborn,Buccaneers,78,DL,2,2015
Adrian Clayborn,Buccaneers,80,DL,4,2014
Adrian Clayborn,Buccaneers,80,DL,7,2013
Adrian Clayborn,Falcons,77,DL,NA,2018
Adrian Colbert,49ers,60,DB,NA,2018
Adrian Hamilton,Ravens,57,LB,8,2014
Adrian Hubbard,Packers,64,LB,10,2016
Adrian Hubbard,Packers,63,LB,12,2015
Adrian Moten,Browns,55,LB,4,2014
Adrian Peterson,Vikings,91,HB,8,2017
Adrian Peterson,Vikings,95,HB,11,2016
Adrian Peterson,Vikings,96,HB,7,2015
Adrian Peterson,Vikings,99,HB,5.5,2014
Adrian Peterson,Vikings,97,HB,10,2013
Adrian Peterson,Saints,84,HB,NA,2018
Adrian Phillips,Chargers,67,DB,5,2017
Adrian Phillips,Chargers,63,DB,4,2016
Adrian Phillips,Chargers,67,DB,NA,2018
Adrian Robinson,Steelers,60,LB,8,2014
Adrian Tracy,Giants,68,DL,7,2014
Adrian Tracy,Giants,67,DL,9,2013
Adrian Wilson,Patriots,87,DB,12,2014
Adrian Wilson,Cardinals,95,DB,5,2013
Adrien Cole,Bears,50,LB,10,2013
Adrien Robinson,Giants,70,WR,6,2016
Adrien Robinson,Giants,70,WR,6,2015
Adrien Robinson,Giants,69,WR,7,2014
Adrien Robinson,Giants,66,WR,9,2013
Ahkello Witherspoon,49ers,71,DB,NA,2018
Ahmad Black,Buccaneers,75,DB,4,2014
Ahmad Black,Buccaneers,67,DB,7,2013
Ahmad Bradshaw,Colts,84,HB,11,2015
Ahmad Bradshaw,Colts,83,HB,11,2014
Ahmad Bradshaw,Giants,88,HB,9,2013
Ahmad Brooks,49ers,74,LB,2,2017
Ahmad Brooks,49ers,80,LB,5,2016
Ahmad Brooks,49ers,82,LB,8,2015
Ahmad Brooks,49ers,89,LB,12,2014
Ahmad Brooks,49ers,84,LB,11.5,2013
Ahmad Brooks,49ers,75,LB,NA,2018
Ahmad Dixon,Vikings,67,DB,7,2015
Ahtyba Rubin,Seahawks,74,DL,10.5,2017
Ahtyba Rubin,Seahawks,78,DL,10,2016
Ahtyba Rubin,Browns,79,DL,7,2015
Ahtyba Rubin,Browns,84,DL,4,2014
Ahtyba Rubin,Browns,88,DL,5,2013
Ahtyba Rubin,Seahawks,74,DL,NA,2018
Akeem Ayers,Rams,77,LB,4,2017
Akeem Ayers,Rams,81,LB,7,2016
Akeem Ayers,Patriots,79,LB,12,2015
Akeem Ayers,Titans,79,LB,7,2014
Akeem Ayers,Titans,78,LB,6,2013
Akeem Ayers,Colts,76,LB,NA,2018
Akeem Davis,Redskins,66,DB,9,2016
Akeem Davis,Redskins,66,DB,4,2015
Akeem Dent,Texans,74,LB,9,2017
Akeem Dent,Texans,75,LB,9,2016
Akeem Dent,Texans,75,LB,9,2015
Akeem Dent,Falcons,77,LB,4,2014
Akeem Dent,Falcons,70,LB,13,2013
Akeem Hunt,Texans,64,HB,9,2017
Akeem Hunt,Texans,69,HB,NA,2018
Akeem Jordan,Chiefs,71,LB,11,2014
Akeem Jordan,Eagles,72,LB,4,2013
Akeem King,Falcons,61,DB,11,2017
Akeem King,Falcons,62,DB,8,2016
Akeem King,Falcons,57,DB,NA,2018
Akeem Spence,Buccaneers,73,DL,9,2017
Akeem Spence,Buccaneers,73,DL,6,2016
Akeem Spence,Buccaneers,71,DL,2,2015
Akeem Spence,Buccaneers,71,DL,4,2014
Akeem Spence,Lions,73,DL,NA,2018
Akiem Hicks,Bears,78,DL,3,2017
Akiem Hicks,Saints,81,DL,7,2016
Akiem Hicks,Saints,82,DL,7,2015
Akiem Hicks,Saints,79,DL,11,2014
Akiem Hicks,Saints,60,DL,7,2013
Akiem Hicks,Bears,83,DL,NA,2018
Akwasi Owusu-Ansah,Cowboys,69,DB,8,2013
Al Afalava,Titans,73,DB,7,2014
Al Afalava,Titans,73,DB,6,2013
Al Bond,Lions,62,OL,7,2016
Al Louis-Jean,Bears,61,DB,6,2016
Al Louis-Jean,Bears,57,DB,5,2015
Al Netter,49ers,71,OL,12,2014
Al Woods,Titans,74,DL,9,2017
Al Woods,Titans,76,DL,3,2016
Al Woods,Titans,79,DL,2,2015
Al Woods,Steelers,65,DL,8,2014
Al Woods,Steelers,59,DL,8,2013
Al Woods,Colts,74,DL,NA,2018
Alameda Ta'amu,Chiefs,71,DL,12,2017
Alameda Ta'amu,Cardinals,73,DL,13,2016
Alameda Ta'amu,Cardinals,72,DL,11,2015
Alameda Ta'amu,Steelers,74,DL,8,2014
Alameda Ta'amu,Steelers,71,DL,8,2013
Alan Ball,Bears,79,DB,6,2016
Alan Ball,Jaguars,79,DB,3,2015
Alan Ball,Jaguars,71,DB,4,2014
Alan Ball,Texans,69,DB,12,2013
Alan Bonner,Texans,61,WR,9,2016
Alan Bonner,Texans,62,WR,9,2015
Alan Bonner,Texans,62,WR,2,2014
Alan Branch,Patriots,77,DL,14,2017
Alan Branch,Patriots,79,DL,12,2016
Alan Branch,Patriots,77,DL,12,2015
Alan Branch,Bills,75,DL,6,2014
Alan Branch,Seahawks,84,DL,11,2013
Alan Branch,Patriots,83,DL,NA,2018
Alan Cross,Buccaneers,62,WR,9,2017
Alan Cross,Buccaneers,68,FALSE,NA,2018
Alani Fua,Cardinals,61,LB,7.5,2017
Alani Fua,Cardinals,63,LB,NA,2018
Albert McClellan,Ravens,70,LB,8,2017
Albert McClellan,Ravens,69,LB,5,2016
Albert McClellan,Ravens,69,LB,10,2015
Albert McClellan,Ravens,69,LB,8,2014
Albert McClellan,Ravens,58,LB,10,2013
Albert McClellan,Ravens,70,LB,NA,2018
Albert Wilson,Chiefs,74,WR,12,2017
Albert Wilson,Chiefs,73,WR,11,2016
Albert Wilson,Chiefs,71,WR,9,2015
Albert Wilson,Chiefs,74,WR,NA,2018
Aldon Smith,Raiders,85,LB,12,2017
Aldon Smith,49ers,89,LB,5,2016
Aldon Smith,49ers,94,LB,8,2015
Aldon Smith,49ers,95,LB,12,2014
Aldon Smith,49ers,89,LB,11.5,2013
Aldon Smith,Raiders,85,LB,NA,2018
Aldrick Robinson,Falcons,67,WR,11,2017
Aldrick Robinson,Ravens,69,WR,5,2016
Aldrick Robinson,Ravens,73,WR,10,2015
Aldrick Robinson,Redskins,69,WR,3,2014
Aldrick Robinson,Redskins,57,WR,10,2013
Aldrick Robinson,49ers,72,WR,NA,2018
Aldrick Rosas,Giants,71,FALSE,NA,2018
Alec Ogletree,Rams,79,LB,4,2017
Alec Ogletree,Rams,81,LB,7,2016
Alec Ogletree,Rams,82,LB,6,2015
Alec Ogletree,Rams,77,LB,7,2014
Alec Ogletree,Rams,77,LB,NA,2018
Alec Savoie,Falcons,59,OL,4,2014
Alejandro Villanueva,Steelers,70,OL,11,2017
Alejandro Villanueva,Steelers,63,OL,10,2016
Alejandro Villanueva,Steelers,81,OL,NA,2018
Alek Torgersen,Falcons,58,QB,NA,2018
Alex Albright,Cowboys,63,LB,8,2014
Alex Albright,Cowboys,59,LB,8,2013
Alex Anzalone,Saints,68,LB,NA,2018
Alex Armah,Panthers,72,FALSE,NA,2018
Alex Balducci,Jets,62,OL,NA,2018
Alex Barron,Raiders,76,OL,4,2014
Alex Barron,Seahawks,76,OL,11,2013
Alex Bayer,Rams,67,WR,7,2016
Alex Bayer,Rams,66,WR,6,2015
Alex Boone,Vikings,81,OL,8,2017
Alex Boone,49ers,88,OL,5,2016
Alex Boone,49ers,87,OL,8,2015
Alex Boone,49ers,89,OL,12,2014
Alex Boone,49ers,69,OL,11.5,2013
Alex Boone,Vikings,79,OL,NA,2018
Alex Carrington,Bills,72,DL,8,2016
Alex Carrington,Rams,73,DL,6,2015
Alex Carrington,Bills,71,DL,6,2014
Alex Carrington,Bills,71,DL,6,2013
Alex Carter,Lions,67,DB,9,2017
Alex Carter,Lions,68,DB,7,2016
Alex Carter,Lions,67,DB,NA,2018
Alex Collins,Seahawks,69,HB,10.5,2017
Alex Collins,Seahawks,67,HB,NA,2018
Alex Cooper,Bengals,59,OL,6.5,2017
Alex Ellis,Jaguars,64,WR,NA,2018
Alex Erickson,Bengals,61,WR,NA,2018
Alex Green,Packers,71,HB,8.5,2014
Alex Green,Packers,68,HB,11,2013
Alex Henery,Eagles,80,FALSE,10,2014
Alex Henery,Eagles,77,FALSE,4,2013
Alex Hoffman-Ellis,Rams,53,LB,7.5,2013
Alex Kupper,Bills,70,OL,8,2016
Alex Kupper,Texans,69,OL,9,2015
Alex Lewis,Ravens,69,OL,8,2017
Alex Lewis,Ravens,70,OL,NA,2018
Alex Mack,Falcons,84,OL,11,2017
Alex Mack,Browns,89,OL,3,2016
Alex Mack,Browns,92,OL,7,2015
Alex Mack,Browns,91,OL,4,2014
Alex Mack,Browns,88,OL,5,2013
Alex Mack,Falcons,91,OL,NA,2018
Alex McCalister,Eagles,60,DL,7,2017
Alex McCalister,Eagles,60,DL,NA,2018
Alex Okafor,Cardinals,71,LB,7.5,2017
Alex Okafor,Cardinals,73,LB,13,2016
Alex Okafor,Cardinals,73,LB,11,2015
Alex Okafor,Cardinals,68,LB,10,2014
Alex Okafor,Saints,72,DL,NA,2018
Alex Parsons,Raiders,65,OL,4,2014
Alex Parsons,Raiders,65,OL,4,2013
Alex Redmond,Bengals,57,OL,6.5,2017
Alex Redmond,Bengals,58,OL,NA,2018
Alex Silvestro,Ravens,52,WR,8,2014
Alex Smith,Chiefs,82,QB,12,2017
Alex Smith,Chiefs,84,QB,11,2016
Alex Smith,Bengals,76,WR,10.5,2015
Alex Smith,Chiefs,86,QB,9,2015
Alex Smith,Bengals,77,WR,11,2014
Alex Smith,Chiefs,87,QB,11,2014
Alex Smith,Browns,72,WR,5,2013
Alex Smith,49ers,83,QB,11.5,2013
Alex Smith,Chiefs,81,QB,NA,2018
Alex Tanney,Titans,63,QB,9,2017
Alex Tanney,Titans,65,QB,3,2016
Alex Tanney,Titans,65,QB,2,2015
Alex Tanney,Titans,61,QB,NA,2018
Alfonso Smith,49ers,70,HB,8,2015
Alfonso Smith,Cardinals,67,HB,10,2014
Alfonso Smith,Cardinals,67,HB,5,2013
Alfonzo Dennard,Cardinals,78,DB,13,2016
Alfonzo Dennard,Patriots,77,DB,12,2015
Alfonzo Dennard,Patriots,81,DB,12,2014
Alfonzo Dennard,Patriots,67,DB,12,2013
Alfred Blue,Texans,76,HB,9,2017
Alfred Blue,Texans,74,HB,9,2016
Alfred Blue,Texans,73,HB,9,2015
Alfred Blue,Texans,75,HB,NA,2018
Alfred Morris,Cowboys,79,HB,13,2017
Alfred Morris,Redskins,84,HB,9,2016
Alfred Morris,Redskins,84,HB,4,2015
Alfred Morris,Redskins,89,HB,3,2014
Alfred Morris,Redskins,64,HB,10,2013
Alfred Morris,Cowboys,75,HB,NA,2018
Algernon Brown,Seahawks,73,FALSE,NA,2018
Al-Hajj Shabazz,Ravens,61,DB,NA,2018
Ali Marpet,Buccaneers,77,OL,9,2017
Ali Marpet,Buccaneers,70,OL,6,2016
Ali Marpet,Buccaneers,85,OL,NA,2018
Allen Bailey,Chiefs,79,DL,12,2017
Allen Bailey,Chiefs,81,DL,11,2016
Allen Bailey,Chiefs,80,DL,9,2015
Allen Bailey,Chiefs,70,DL,11,2014
Allen Bailey,Chiefs,72,DL,2,2013
Allen Bailey,Chiefs,77,DL,NA,2018
Allen Barbre,Eagles,71,OL,7,2017
Allen Barbre,Eagles,77,OL,7,2016
Allen Barbre,Eagles,78,OL,10,2015
Allen Barbre,Eagles,69,OL,10,2014
Allen Barbre,Seahawks,56,OL,11,2013
Allen Barbre,Eagles,81,OL,NA,2018
Allen Bradford,Falcons,66,LB,8,2016
Allen Bradford,Seahawks,65,LB,12,2015
Allen Bradford,Seahawks,56,LB,13,2014
Allen Hurns,Jaguars,85,WR,3,2017
Allen Hurns,Jaguars,73,WR,5,2016
Allen Hurns,Jaguars,73,WR,3,2015
Allen Hurns,Jaguars,81,WR,NA,2018
Allen Reisner,Ravens,71,WR,5,2016
Allen Reisner,Jaguars,70,WR,4,2014
Allen Reisner,Vikings,64,WR,10,2013
Allen Robinson,Jaguars,88,WR,3,2017
Allen Robinson,Jaguars,79,WR,5,2016
Allen Robinson,Jaguars,77,WR,3,2015
Allen Robinson,Jaguars,87,WR,NA,2018
Alonzo Harris,Packers,60,HB,10,2016
Alonzo Russell,Bengals,62,WR,6.5,2017
Alonzo Russell,Bengals,62,WR,NA,2018
Alphonso Smith,Lions,74,DB,4,2013
Al-Quadin Muhammad,Saints,65,DL,NA,2018
Alshon Jeffery,Bears,91,WR,3,2017
Alshon Jeffery,Bears,90,WR,6,2016
Alshon Jeffery,Bears,90,WR,5,2015
Alshon Jeffery,Bears,75,WR,8,2014
Alshon Jeffery,Bears,70,WR,10,2013
Alshon Jeffery,Eagles,87,WR,NA,2018
Alterraun Verner,Buccaneers,75,DB,9,2017
Alterraun Verner,Buccaneers,87,DB,6,2016
Alterraun Verner,Buccaneers,88,DB,2,2015
Alterraun Verner,Titans,83,DB,7,2014
Alterraun Verner,Titans,81,DB,6,2013
Alvester Alexander,Bears,57,HB,10,2013
Alvin Bailey,Browns,71,OL,1,2017
Alvin Bailey,Seahawks,80,OL,10,2016
Alvin Bailey,Seahawks,73,OL,12,2015
Alvin Bailey,Seahawks,66,OL,13,2014
Alvin Kamara,Saints,76,HB,NA,2018
Amara Darboh,Seahawks,74,WR,NA,2018
Amari Cooper,Raiders,83,WR,12,2017
Amari Cooper,Raiders,82,WR,7,2016
Amari Cooper,Raiders,87,WR,NA,2018
Amari Spievey,Lions,76,DB,7,2014
Amari Spievey,Lions,77,DB,4,2013
Amarlo Herrera,Colts,59,LB,8,2017
Amarlo Herrera,Colts,63,LB,8,2016
Amba Etta-Tawo,Jaguars,63,WR,NA,2018
Ameer Abdullah,Lions,78,HB,9,2017
Ameer Abdullah,Lions,74,HB,7,2016
Ameer Abdullah,Lions,78,HB,NA,2018
Amini Silatolu,Panthers,74,OL,15,2016
Amini Silatolu,Panthers,72,OL,7.5,2015
Amini Silatolu,Panthers,74,OL,12,2014
Amini Silatolu,Panthers,73,OL,7,2013
Amini Silatolu,Panthers,72,OL,NA,2018
Amir Carlisle,Cardinals,61,WR,7.5,2017
Amobi Okoye,Cowboys,72,DL,12,2015
Amobi Okoye,Buccaneers,75,DL,7,2013
Amon Gordon,Chiefs,72,DL,2,2013
Anderson Russell,Panthers,67,DB,12,2014
Anderson Russell,Dolphins,66,DB,7,2013
Andre Branch,Dolphins,70,DL,10,2017
Andre Branch,Jaguars,75,DL,5,2016
Andre Branch,Jaguars,75,DL,3,2015
Andre Branch,Jaguars,71,DL,4,2014
Andre Branch,Jaguars,70,DL,2,2013
Andre Branch,Dolphins,78,DL,NA,2018
Andre Brown,Giants,76,HB,7,2014
Andre Brown,Giants,62,HB,9,2013
Andre Caldwell,Lions,70,WR,9,2017
Andre Caldwell,Broncos,74,WR,12,2016
Andre Caldwell,Broncos,74,WR,12,2015
Andre Caldwell,Broncos,74,WR,13,2014
Andre Caldwell,Broncos,77,WR,13,2013
Andre Carter,Raiders,80,DL,4,2014
Andre Davis,Broncos,64,OL,12,2016
Andre Debose,Colts,52,WR,8,2017
Andre Debose,Raiders,55,WR,7,2016
Andre Ellington,Cardinals,78,HB,7.5,2017
Andre Ellington,Cardinals,77,HB,13,2016
Andre Ellington,Cardinals,81,HB,11,2015
Andre Ellington,Cardinals,67,HB,10,2014
Andre Ellington,Cardinals,72,WR,NA,2018
Andre Fluellen,Lions,73,DL,11,2015
Andre Fluellen,Lions,66,DL,4,2013
Andre Hal,Texans,77,DB,9,2017
Andre Hal,Texans,72,DB,9,2016
Andre Hal,Texans,67,DB,9,2015
Andre Hal,Texans,74,DB,NA,2018
Andre Holmes,Raiders,73,WR,12,2017
Andre Holmes,Raiders,75,WR,7,2016
Andre Holmes,Raiders,75,WR,3,2015
Andre Holmes,Raiders,66,WR,4,2014
Andre Holmes,Cowboys,67,WR,8,2013
Andre Holmes,Bills,76,WR,NA,2018
Andre Johnson,Titans,76,WR,9,2017
Andre Johnson,Colts,86,WR,8,2016
Andre Johnson,Texans,89,WR,9,2015
Andre Johnson,Texans,97,WR,2,2014
Andre Johnson,Texans,97,WR,12,2013
Andre Neblett,Buccaneers,65,DL,4,2014
Andre Neblett,Panthers,69,DL,7,2013
Andre Roberts,Lions,71,WR,9,2017
Andre Roberts,Redskins,74,WR,9,2016
Andre Roberts,Redskins,76,WR,4,2015
Andre Roberts,Cardinals,78,WR,10,2014
Andre Roberts,Cardinals,74,WR,5,2013
Andre Roberts,Falcons,72,WR,NA,2018
Andre Smith,Vikings,77,OL,8,2017
Andre Smith,Bengals,85,OL,12,2016
Andre Smith,Bengals,87,OL,10.5,2015
Andre Smith,Bengals,92,OL,11,2014
Andre Smith,Cowboys,68,WR,8,2014
Andre Smith,Bengals,81,OL,10,2013
Andre Smith,Colts,62,WR,11,2013
Andre Smith,Bengals,74,OL,NA,2018
Andre Williams,Giants,72,HB,11,2017
Andre Williams,Giants,73,HB,6,2016
Andre Williams,Giants,74,HB,6,2015
Andre Williams,Chargers,69,HB,NA,2018
Andrew Adams,Giants,78,DB,NA,2018
Andrew Billings,Bengals,67,DL,6.5,2017
Andrew Billings,Bengals,68,DL,NA,2018
Andrew Datko,Packers,62,OL,8.5,2014
Andrew Datko,Packers,65,OL,11,2013
Andrew DePaola,Buccaneers,62,WR,9,2017
Andrew DePaola,Buccaneers,61,WR,6,2016
Andrew DePaola,Buccaneers,60,WR,2,2015
Andrew Donnal,Rams,64,OL,4,2017
Andrew Donnal,Rams,66,OL,7,2016
Andrew Donnal,Rams,65,OL,NA,2018
Andrew Economos,Buccaneers,62,OL,4,2014
Andrew Economos,Buccaneers,62,OL,7,2013
Andrew Franks,Dolphins,76,FALSE,10,2017
Andrew Franks,Dolphins,75,FALSE,NA,2018
Andrew Gachkar,Cowboys,71,LB,13,2017
Andrew Gachkar,Cowboys,75,LB,4,2016
Andrew Gachkar,Chargers,72,LB,9,2015
Andrew Gachkar,Chargers,64,LB,9,2014
Andrew Gachkar,Chargers,61,LB,7,2013
Andrew Gardner,Eagles,75,OL,7,2017
Andrew Gardner,Eagles,67,OL,7,2016
Andrew Gardner,Eagles,63,OL,10,2015
Andrew Gardner,Texans,68,OL,2,2014
Andrew Gardner,Texans,61,OL,12,2013
Andrew Hawkins,Browns,73,WR,1,2017
Andrew Hawkins,Browns,80,WR,3,2016
Andrew Hawkins,Browns,82,WR,7,2015
Andrew Hawkins,Bengals,72,WR,11,2014
Andrew Hawkins,Bengals,65,WR,10,2013
Andrew Hawkins,Patriots,74,WR,NA,2018
Andrew Hudson,Bills,56,LB,8,2016
Andrew Jackson,Colts,66,LB,11,2015
Andrew Jackson,Falcons,68,OL,13,2013
